Section;Sample;Season;Gammaridae;Protonemura;Nemoura;Amphinemura;Leuctridae;Haliplidae;Tipulidae;Limonidae;Sericostomatidae;Odontoceridae;Limnephilidae;Lepidostomatidae;Helodidae;Tabanidae;Polycelis;Dugesia;Hydrachnellae;Perlidae;Chloroperlidae;Perlodidae;Gomphidae;Gerridae;Gyrinidae;Dytiscidae;Hydraenidae;Ceratopogonidae;Empididae;Athericidae;Dolichopodidae;Rhyacophilidae;Polycentropus;Oligochaeta;Heptageniidae;Caenidae;Leptophlebidae;Ephemerellidae;Dixidae;Psychodidae;Chironomidae;Stratyomidae;Brachycentridae;Leptoceridae;Baetidae;Elmidae;Spharidae;Simuliidae;Hydropsychidae;Philopotamidae;Glossiphoniidae;Hydrobiidae;Bythinidae;Lymnaeidae;Ancylidae;Blephariceridae;Glossosomatidae;Hydroptilidae;Psychomyidae;Goeridae
1;A;January;118;113;22;2;76;0;2;4;0;0;0;0;9;0;20;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;351;169;0;2;0;0;0;100;0;0;2;44;9;0;338;69;2;0;0;0;0;0;0;0;0;0;0
1;B;January;78;22;0;0;58;0;18;7;22;0;0;0;4;0;4;0;0;0;11;0;0;0;0;0;2;24;0;9;0;0;0;504;138;0;33;0;0;0;398;0;0;0;11;44;0;40;0;0;0;0;0;0;0;0;0;0;0;0
1;C;January;100;24;9;0;69;0;0;11;4;2;0;0;7;0;7;0;18;0;20;0;0;0;0;0;0;9;0;2;0;0;0;458;204;0;4;0;0;0;129;0;0;0;51;69;0;82;16;0;0;0;0;0;0;0;0;0;0;0
1;D;January;80;47;16;2;78;0;0;0;9;2;0;0;7;0;2;0;2;0;4;2;0;0;0;0;4;0;0;13;0;2;0;887;402;0;13;0;0;2;202;0;0;2;67;164;0;360;36;0;0;0;0;0;0;0;0;0;0;0
1;E;January;87;60;7;0;107;0;0;2;20;0;2;0;2;0;22;0;0;0;0;7;0;0;0;0;0;7;0;47;0;0;0;620;287;0;38;0;20;0;300;0;0;0;76;42;0;144;9;0;0;0;0;0;0;0;0;0;0;0
1;A;April;78;47;4;0;104;0;0;13;38;0;0;0;307;0;11;0;2;0;0;0;0;0;0;0;0;91;0;18;2;0;0;676;336;2;131;7;0;0;338;0;0;0;98;178;0;9;16;0;0;18;0;0;0;0;2;0;0;0
1;B;April;71;49;18;0;102;0;0;2;2;0;0;0;62;2;0;0;2;0;29;0;0;0;0;0;7;58;0;11;16;0;0;1504;131;0;120;0;0;2;1333;0;0;0;56;56;0;16;0;0;0;2;0;0;0;0;0;0;0;0
1;C;April;100;53;0;0;71;0;0;13;118;20;2;0;158;0;18;0;18;4;7;0;0;0;0;0;0;247;0;27;4;0;18;589;1058;0;518;13;0;0;1229;0;0;0;273;556;0;20;36;0;0;0;2;0;0;0;4;0;0;0
1;D;April;91;22;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;2;136;13;0;0;0;0;0;318;0;0;0;29;9;0;0;0;0;0;18;0;0;0;0;0;0;0;0
1;E;April;93;0;0;0;89;0;0;7;16;4;0;0;100;0;16;0;18;0;0;0;0;0;0;0;0;96;0;2;0;0;2;522;91;0;391;0;0;0;616;0;0;0;31;51;0;2;7;0;0;0;4;0;0;0;0;0;0;0
