Section;Sample;Season;Gammaridae;Protonemura;Nemoura;Amphinemura;Leuctridae;Haliplidae;Tipulidae;Limonidae;Sericostomatidae;Odontoceridae;Limnephilidae;Lepidostomatidae;Helodidae;Tabanidae;Polycelis;Dugesia;Hydrachnellae;Perlidae;Chloroperlidae;Perlodidae;Gomphidae;Gerridae;Gyrinidae;Dytiscidae;Hydraenidae;Ceratopogonidae;Empididae;Athericidae;Dolichopodidae;Rhyacophilidae;Polycentropus;Oligochaeta;Heptageniidae;Caenidae;Leptophlebidae;Ephemerellidae;Dixidae;Psychodidae;Chironomidae;Stratyomidae;Brachycentridae;Leptoceridae;Baetidae;Elmidae;Spharidae;Simuliidae;Hydropsychidae;Philopotamidae;Glossiphoniidae;Hydrobiidae;Bythinidae;Lymnaeidae;Ancylidae;Blephariceridae;Glossosomatidae;Hydroptilidae;Psychomyidae;Goeridae
1;A;January;27.2;55.56;8.09;0.42;18.44;0;2.22;11.82;0;0;0;0;2.58;0;1.82;0;0;0;0;0;0;0;0;0;0;0;0;35.36;0;0;0;10.09;28.44;0;1.27;0;0;0;1.93;0;0;0.56;2.13;0.53;0;39.42;0;4.2;0;0;0;0;0;0;0;23.47;0;0
1;B;January;14.44;11.11;0;0;13.22;0;17.78;19.27;31.98;0;0;0;1.69;0;1.4;0;0;0;11.11;40.67;0;0;0;0;0.44;2.62;0;2.67;0;0;0;19.02;15.31;0;22.36;0;0;0;1.76;0;0;0;0.84;2.51;0;0.07;0;0;0;0;0;0;0;0;0;0;0;0
1;C;January;34.04;13.36;1.89;0;20.31;0;0;7.29;0.78;0.38;0;0;0.58;0;1.89;0;0;0;20;36.11;0;0;0;0;0;1.82;0;0.73;0;0;0;19.13;31.49;0;4.6;0;0;0;1.73;0;0;0;16.76;5.29;0;0.91;0;0;0;0;0;0;0;0;0;17.29;0;0
1;D;January;16.36;28.04;4.07;0;25.07;0;0;0;0.84;0;0;0;2.18;0;0.76;0;0;0;4.44;0.31;0;0;0;0;0.91;0;0;11.93;0;0;0;11.6;37.29;0;21.24;0;0;0;3.64;0;0;0;6.69;11.36;0;8.18;0;0;0;0;0;0;0;0;0;30.56;0;0
1;E;January;12.13;22.22;25.84;0;31.93;0;0;16.13;0.51;0;56.36;0;0.11;0;5.49;0;0;0;0;1;0;0;0;0;0;0;0;11.18;0;0;0;15.82;33.13;0;46.36;0;0;0;4.53;0;0;0;5.02;1.33;0;0.51;0;0;0;0;0;0;0;0;0;6.67;0;0
1;A;April;5.69;12.29;0.69;0;13.47;0;0;59.53;7.2;0;0;0;6.93;0;6.07;0;0;0;0;7.18;0;0;0;0;0;0;0;42.42;0;0;0;22.89;41.36;0;9.64;0;0;0;6.6;0;0;0;9.84;15.84;0;1.91;0;0;0;0;0;0;0;0;0;29.09;0;0
1;B;April;7.67;8.89;5.29;0;16.51;0;0;4.89;4.8;0;0;0;1.91;0;0;0;0;0;28.89;0;0;0;0;0;1.47;0;0;34.11;0;0;0;42.09;11.24;0;38.64;0;0;0;22.98;0;0;0;9.31;0.82;0;4.8;0;0;0;0.09;0;0;0;0;0;0;0;0
1;C;April;19.96;12;0;0;11.13;0;0;38.4;48.2;55.98;146.98;0;4.4;0;4.4;0;0;4.44;6.67;4.31;0;0;0;0;0;2.22;0;80.38;19.42;0;0;32.24;198.33;0;1.51;1.22;0;0;17.29;0;0;0;70.71;49.87;0;1.18;0;0;0;0;0.56;0;0;0;0.56;71.07;0;0
1;D;April;36.62;11.11;0;0;0;0;0;0;1.6;3.96;0;0;1.2;0;1.04;0;0;0;0;2.47;0;0;0;0;0;0.84;0;0;0;0;0;5.11;11.38;0;0.64;0;0;0;5.93;0;0;0;11.04;3.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;E;April;55.58;0;0;0;16.31;0;0;6.49;2.67;6.89;0;0;2.62;0;4.42;0;0;0;0;13.96;0;0;0;0;0;0;0;3.18;0;0;0;22.71;27.4;0;5.69;0;0;0;10.58;0;0;0;6.47;3.18;0;0.6;0;0;0;0;0.8;0;0;0;0;16.78;0;0
